n,lambda_n,lambda_n_over_n
422,799.348659365197089933483549886,1.89419113593648599510304158741
423,801.658640376762193528479019613,1.89517409072520613127300004637
424,803.971928385467307285169210015,1.89616020845629081906879530664
425,806.289084695731208046492173532,1.89715078751936754834468746713
426,808.61066132580465063809320909,1.89814709231409542403308265045
427,810.937197870376346036108293561,1.89915034630064718041243160085
428,813.26921841925986624948056478,1.90016172527864454731187047846
429,815.607228548453895954531650836,1.90118235092879696026697354507
430,817.951712399515414184091457559,1.90221328465003584693974757572
431,820.30312986275066874922403636,1.90325552172331941705156388947
432,822.661913879214362095317644545,1.90430998583151472707249454756
433,825.028467875915864431025204121,1.9053775239628541903718826885
434,827.403163347965463806174125586,1.90645890172342272766399568107
435,829.786337600656985290758958349,1.90755479908197008112818151345
436,832.178291663679254140681892619,1.90866580656807168380890342344
437,834.579288388781873649180681653,1.90979242194229261704618004955
438,836.989550741294991103667715765,1.9109350473545547742092870223
439,839.409260294922787914538575526,1.91209398700437992691238855473
440,841.838555938201281441476972935,1.91326944531409382145790221122
441,844.277532799937846352697603584,1.91446152562344182846416690155
442,846.72624139983805772228103095,1.9156702294113983206386448664
443,849.184687029380629758690087951,1.91689545604826327259297988251
444,851.6528293668291462492799265,1.91813700307844402308396379842
445,854.130582329075865630278467836,1.91939456703163115871972689401
446,856.617814161804160422581414612,1.92066774475740843144076550361
447,859.114347768238223961512414154,1.92195603527570072474611278334
448,861.619961275527703539528035216,1.92325884213287433825787507861
449,864.134388836597074272256349275,1.92457547625077299392484710306
450,866.657321664081016488743916794,1.92590515925351336997498648176
451,869.188409291773922834231587126,1.92724702725448763377878400693
452,871.72726105784998765830009041,1.92860013508373891074845152746
453,874.273447802966064806836193571,1.92996346093369992231089667455
454,876.826503775248430944014157293,1.93133591139922561881941444338
455,879.385928733092407173146910857,1.9327163268859173784025206832
456,881.951190235675927590454547316,1.93410348735893843769836523534
457,884.521726110109835990267289237,1.93549611840286616190430479045
458,887.096947083223932233328071129,1.93689289756162430618630583216
459,889.676239565123298079152608646,1.93829246092619454919205361361
460,892.258968570848634308178939237,1.93969340993662746588734552008
461,894.844480765741345532909869736,1.94109431836386409009307997774
462,897.432107619452687309199672644,1.94249373943604477772554041698
463,900.021168652949856263541303739,1.9438902130733258234633721463
464,902.610974762363498037809333793,1.94528227319474891818493390904
465,905.200831603093380379434666321,1.94666845506041587178373046521
466,907.790043017244176988989209622,1.94804730261211196778753049275
467,910.37791448720326445117646809,1.94941737577559585535583826143
468,912.963756597998558320142359033,1.95077725768803110752167170734
469,915.546888490987682428146011717,1.95212556181447267042248616571
470,918.126641291430718432620969939,1.95346093891793769879281057434
471,920.702361492587521712683196835,1.9547820838483811501330853436
472,923.273414279156775916725538538,1.9560877421168575760947574969
473,925.839186773136813873718671399,1.95737671622227656210088514038
474,928.39909118553654415588674111,1.95864787169944418598288342006
475,930.95256785779694789753007067,1.95990014285851989031058962246
476,933.499088177297485714211882296,1.96113253818759975990380647541
477,936.038157351914904591114236181,1.96234414539185514589332124986
478,938.569317029271485107068494733,1.96353413604450101486834413124
479,941.09214774705246098963502799,1.96470176982683186010362218787
480,943.606271201584547461825169299,1.96584639833663447387880243604
481,946.111352322745252824222946402,1.96696746844645582707738658296
482,948.607101144211608567825022166,1.96806452519545976881291498375
483,951.093274459052516409795435867,1.96913721420093688697680214465
484,953.569677251716168306417758728,1.97018528357792596757524330316
485,956.03616389855777734894576527,1.97120858535785108731741394901
486,958.492639130187756101831364328,1.97220707639956328416014684018
487,960.939058750090876880945400069,1.97318081878868763219906652992
488,963.375430105167045984349676912,1.97412997972370296308268376416
489,965.801812305068167946362694104,1.97505483088970995490053720676
490,968.218316188447089769154083629,1.97595574732336140769215119108
491,970.625104035487628664459360738,1.97683320577492388730032456362
492,973.022389027342967319279621389,1.97768778257590034007983662884
493,975.41043445436698370683954438,1.97852015102305676208283883241
494,977.789552676273103283195624431,1.97933107829205081636274417901
495,980.160103838591786250322046884,1.98012142189614502272792332704
496,982.522494351014619681932438498,1.9808921257076907654877670131
497,984.877175134404094819418157591,1.98164421556218127730265222855
498,987.224639644407558111668516309,1.9823787944666818435977279444
499,989.565421680735727961623151751,1.98309703743634414421166964279
500,991.900092992244947046833796331,1.98380018598448989409366759266
501,994.229260688992582039544857868,1.98448954229339836734440091391
502,996.553564473411515331405045884,1.98516646309444524966415347786
503,998.873673703667586876051557662,1.98583235328760951665218997547
504,1001.1902843031185161542756513,1.98648865933158435744895962561
505,1003.50411553057995312624666747,1.98713686243679198638860726232
506,1005.81590662681989401932812855,1.98777847159450571940578681531
507,1008.1264133533431266262514051,1.98841501647602194600838541439
508,1010.43640444008938497732543502,1.98904804023639642712071936028
509,1012.7466579591496265242056334,1.98967909225766134877054151946
510,1015.05795764200182973078836529,1.99030972086667025437409483391
511,1017.3710891580788937640687437,1.99094146606277670012537914619
